
0;('0', 0, '0');1545300923550;397993873034;0;000000836c1c1e0be26d42d3384d14f8f98d06d1d86c4c325ab1437c8d0420b7

1;('Satoshi Nakamoto', 100000, 'client2');1545301485606;564047490238;000000836c1c1e0be26d42d3384d14f8f98d06d1d86c4c325ab1437c8d0420b7;000000cc51e145d7dff4056cab1fb96975177cb743c9c4a0ae1bd8285b9e6d68

2;('Satoshi Nakamoto', 100000, 'client3');1545301579381;629846979587;000000cc51e145d7dff4056cab1fb96975177cb743c9c4a0ae1bd8285b9e6d68;00000077956cb3a27cc3318d4cefe367f8625f83d5149a58fc8519e323b92cd4

3;('Satoshi Nakamoto', 100000, 'client1');1545314624095;906002455211;00000077956cb3a27cc3318d4cefe367f8625f83d5149a58fc8519e323b92cd4;000000574672a7f301e7cfe9e0754459610dbf11c48b85d63aacd85a8ce89276

4;('Satoshi Nakamoto', 100000, 'client4');1545315126441;255399433382;000000574672a7f301e7cfe9e0754459610dbf11c48b85d63aacd85a8ce89276;00000004c4846696454c7389029eab9a39c937cbc3755d7253a61b37c54d0824

5;('Satoshi Nakamoto', 100000, 'client5');1545315172368;152942807586;00000004c4846696454c7389029eab9a39c937cbc3755d7253a61b37c54d0824;0000009104820fb64145b42c89b34e3b8db51f0e19e7a0898ad1ff46dee37a68

6;('Satoshi Nakamoto', 100000, 'client6');1545315237504;169765301263;0000009104820fb64145b42c89b34e3b8db51f0e19e7a0898ad1ff46dee37a68;000000330e1eda8dd3573af20292b7483cb5945150b41d8bb0f0087c792a7873

7;('Satoshi Nakamoto', 1111111, 'client1');1545315369151;927570263388;000000330e1eda8dd3573af20292b7483cb5945150b41d8bb0f0087c792a7873;000000da08b961a57e3b63f61dbe49171e0129b8263a48ba4d614cbf3d19e4af

8;('Satoshi Nakamoto', 1111111, 'client2');1545315437294;538497691617;000000da08b961a57e3b63f61dbe49171e0129b8263a48ba4d614cbf3d19e4af;0000000b9162d5255cd2063c146a1224241faf3613f5892906706267d3000499

9;('client6', 100, 'client1');1545410759856;233130889999;0000000b9162d5255cd2063c146a1224241faf3613f5892906706267d3000499;00000094eb83eed912f8b2be1a6a63fe7bd89ae4203b1ff296b8aad1b6b2cfdb
